conceptUri,skillType,reuseLevel,preferredLabel,altLabels,hiddenLabels,scopeNote,description
http://data.europa.eu/esco/skill/07d3074b-f5cd-420a-bdf8-c8d643563ea5,skill/competence,cross-sector,respect publication formats,conform to publication formats;adhere to publication formats;respecting publication formats;respect formats for publication;comply with publication formats;respect publication format,,,Submit text material for printing purposes. Always respect the required and expected publication formats.
http://data.europa.eu/esco/skill/07dd856d-6141-48a7-a228-918f88494812,skill/competence,sector-specific,create prototype of user experience solutions,UX,,,"Design and prepare mock-ups, prototypes and flows in order to test User Experience (UX) solutions or to collect feedback from users, customers, partners or stakeholders."
http://data.europa.eu/esco/skill/07e47d58-dd0e-4302-9e68-70a188e89065,skill/competence,cross-sector,apply system organisational policies,adhere to organisational system guidelines;enforce organisational system policies;implement system regulations,,,"Implement internal policies related to the development, internal and external usage of technological systems, such as software systems, network systems and telecommunications systems, in order to achieve a set of goals and targets regarding the efficient operations and growth of an organisation."
http://data.europa.eu/esco/skill/07e51c60-763a-4335-b4ec-70a15f66d328,skill/competence,cross-sector,propose ICT solutions to business problems,propose technical solutions to business problems,,,"Suggest how to solve business issues, using ICT means, so that business processes are improved."
http://data.europa.eu/esco/skill/07e6bc9f-9c98-44ae-a7a3-5266caa393e1,skill/competence,sector-specific,calculate costs of repair operations,calculating costs of repair operations;calculate the costs of repair operations;tally costs of repair operations;forecast costs of repair operations;count costs of repair operations;calculate the cost of repair operations;measure costs of repair operations,,,Calculate material and labour costs of repair operations. Understand appropriate computer programmes.
http://data.europa.eu/esco/skill/07ebc888-0f3f-46e7-99d2-a7c7ebd7ffe3,knowledge,sector-specific,property management software,PMS;real estate management software;property operations software,,,"The features and functioning of a software that enables the management of daily operations in real estate and accommodation businesses, to optimise resources and processes such as booking reservations, room rates, revenue data analytics or billing."
http://data.europa.eu/esco/skill/080a3bf6-c8e8-481e-b97e-8fbc964ebab7,knowledge,cross-sector,typography,typographies,,,The procedure of arranging written texts for printing processes.
http://data.europa.eu/esco/skill/081d7679-5070-4777-bece-a28c49f15636,knowledge,cross-sector,environmental policy,national environmental protection policy;international environmental protection policy;national environmental policy;local environmental policy;international environmental policy;local environmental protection policy;environmental sustainability policy,,,"Local, national and international policies dealing with the promotion of environmental sustainability and the development of projects which reduce negative environmental impact and improve the state of the environment."
http://data.europa.eu/esco/skill/0823ccef-813f-4f22-afef-ac0d68615e8f,knowledge,cross-sector,computer simulation,simulation software ANSYS;computer-based simulation,,,"A programme run on a computer that represents dynamic responses of a system to explore a mathematical model behaviour, using a model of a real system, composed of mathematical equations."
http://data.europa.eu/esco/skill/082967d4-b94c-4305-aa13-35a6aa8c5c7c,skill/competence,cross-sector,cooperate with colleagues,work together with colleagues;collaborate with colleagues;work in collaboration with colleague;work in cooperation with colleagues;work in cooperation with co-workers;collaborate with co-workers;work collaboratively;work cooperatively;cooperate with co-workers;work together with co-workers;work in collaboration with co-workers,,,Cooperate with colleagues in order to ensure that operations run effectively.
http://data.europa.eu/esco/skill/08371fe9-c658-4f6a-966f-71dbb0ab683d,knowledge,sector-specific,accounting department processes,accounts department processes;accounting department procedures;accounting processes,,,"The different processes, duties, jargon, role in an organisation, and other specificities of the accounting department within an organisation such as bookkeeping, invoices, recording, and taxing."
http://data.europa.eu/esco/skill/0839eea4-c57b-4c14-b19b-923fbedb5d88,skill/competence,sector-specific,perform business research,conduct business research;performing business research;do business research,,,"Search and collect information relevant for the development of businesses in different fields ranging from legal, accounting, finance, up to commercial matters."
