conceptUri,iscoGroup,preferredLabel,altLabels,hiddenLabels,scopeNote,description
http://data.europa.eu/esco/occupation/974d4eab-fbee-4c52-b16e-73bdd8c25b53,2611,lawyer,social law lawyer;barrister;medical lawyer;industrial property lawyer;procurement law lawyer;administrative law lawyer;information technology lawyer;fiscal lawyer;agricultural lawyer;property law lawyer;property law attorney;employment lawyer;family law lawyer;bank and capital market lawyer;labour lawyer;patent law lawyer;building and construction dispute lawyer;building lawyer;traffic law lawyer;prosecutor assistant;commercial and company lawyer;counsellor;advocate;inheritance law lawyer;intellectual property lawyer;attorney;copyright and media lawyer;international business law lawyer;personal law lawyer;financial lawyer,,,"Lawyers provide legal advice to clients and act on their behalf in legal proceedings and in compliance with the law. They research for, interpret and study cases to represent their clients in a variety of settings such as courts and administrative boards. They create arguments on behalf of their clients for lawsuits in different contexts with the aim of finding a legal remedy."
http://data.europa.eu/esco/occupation/976c7f50-7f9e-4347-bbb9-f0dc842046a3,2634,health psychologist,health psychology researcher;research health psychologist;practitioner of healthcare psychology;consultant health psychologist;consultant in health psychology;specialist healthcare psychologist;healthcare psychologist;expert healthcare psychologist,,,"Health psychologists deal with the various aspects of health related behaviour of individuals and groups, by helping individuals or groups prevent illness and promote healthy behaviours by also providing counseling services. They perform tasks for the development of health promotion activities and projects on the basis of psychological science, research findings, theories, methods and techniques. They also engage in research about health related issues to influence public policy on health care issues."
http://data.europa.eu/esco/occupation/98358049-fbcd-479e-a644-e92bde5af2e0,2432,activism officer,activism and events officer;campaigner;campaign worker;charity officer;activism and engagement officer;activist;activism & engagement officer;activism coordinator;activism & events officer;events officer,,,"Activism officers promote or hinder social, political, economic or environmental change by using different tactics such as persuasive research, media pressure or public campaigning."
http://data.europa.eu/esco/occupation/9851c83c-5670-4da0-964a-1ef0e682e30b,2632,thanatology researcher,thanatologist;researcher in the psychology of death and dying;thanatological researcher;researcher in thanatology;fellow in thanatology;thanatological scholar,,,"Thanatology researchers study death and the dying in a variety of scientific fields such as psychology, sociology, physiology and anthropology. They contribute to the growth of knowledge on aspects of death such as the psychological phenomena the dying and those around them are experiencing."
http://data.europa.eu/esco/occupation/98b261ec-def2-4871-b062-56cdd290c844,2635,military welfare worker,air force social worker;military and veterans social worker;navy social worker;army welfare officer;forces welfare worker;forces social worker;military families welfare worker;army social worker;air force welfare officer;navy welfare officer;military families support worker;forces family support worker,,,"Military welfare workers assist families in coping with the deployment in the military of a family member by supporting them through the adjustment process of leaving and returning of the family member. They help teenagers go through the fear of loosing their parents to the military or not recognising their parents at their return. Military welfare workers help veterans to re-adapt to civilian life and help them manage sufferings, trauma disorders or griefs."
http://data.europa.eu/esco/occupation/98c3d8f8-e3a8-49b7-9e58-236f25a6f6a0,2522,system configurator,system configurators;system setup professional;system configuration professional;ICT system configurator;IT system configurator;systems configurator,,Excludes people performing managerial activities.,System configurators tailor a computer system to the organisation's and users' needs. They adjust the base system and software to the needs of the customer. They perform configuration activities and scripting and ensure communication with users.
http://data.europa.eu/esco/occupation/98e58946-3227-4f6c-a5d1-5892fe76883d,2433,after-sales service technician,after-sales support technician;field technician;workshop technician;sales support technician;help-desk technician;after-sales installation technician;after-sales rectification technician;after-sales team member;after-sales repair technician;customer service technician;after-sales maintenance technician;field support technician,,,"After-sales service technicians provide after-sales service support to customers, such as the installation, maintenance and repair of the sold products. They take corrective actions to ensure customers’ satisfaction, resolve technical product-related issues and write customer summary reports."
http://data.europa.eu/esco/occupation/98f17395-0f8c-4f51-9072-cb8f66fd6044,2422,agricultural policy officer,agronomist;agriculture policy officer;agriculture policy manager;policy manager agriculture;farming advisor;agricultural consultant;policy officer agriculture;agriculture policy coordinator;agriculture policy advisor,,,Agricultural policy officers analyse and identify agricultural policy issues and develop plans for improvement and new policy implementation. They write reports and presentations in order to communicate and acquire support for the policies from government officials and the public. They also communicate with professionals in agriculture for research and information purposes and perform administrative duties.
http://data.europa.eu/esco/occupation/99492920-e5a5-4dba-9e5a-93193147198c,2631,economist,econophysicist;economics scholar;economics scientist;economics researcher;econometrician;economics research analyst;interest analyst;economics research scientist;macro analyst;economics science researcher;social economist;labour economist;economics analyst,,,"Economists perform research and develop theories in the field of economics, whether for microeconomic or macroeconomic analysis. They study trends, analyse statistical data, and to some extent work with economic mathematical models in order to advise companies, governments, and related institutions. They advise on product feasibility, trend forecasts, emerging markets, tax policies, and consumer trends."
http://data.europa.eu/esco/occupation/9a2147aa-a72f-4f83-8653-c3f50d4e1e73,2643,sign language interpreter,business sign language interpreter;remote sign language interpreter;police sign language interpreter;interpreter of sign language;conference sign language interpreter;community sign language interpreter;television sign language interpreter;court sign language interpreter;medical sign language interpreter;social sign language interpreter;sworn sign language interpreter;guide sign language interpreter;public service sign language interpreter,,,Sign language interpreters understand and convert sign language into spoken language and vice versa. They maintain the nuances and the stress of the message in the recipient language.
http://data.europa.eu/esco/occupation/9aa2115d-83cb-4db1-af1d-b426c87c2393,2635,criminal justice social worker,family court advisor;prison social worker;probation social worker;family court adviser,,,Criminal justice social workers tackle criminal behaviour and reduce risk of reoffending by promoting and establishing programs to prevent crime within communities. They assist in prosecutions and help to investigate criminal cases. They assist prisoners reinsert into the community after release from custody. They also support and supervise the offenders sentenced to community service and provide support to the victims and the people closely affected by the crime.
http://data.europa.eu/esco/occupation/9c9752b7-3e3b-4a08-8553-b63a013f8072,2431,customer experience manager,guest relations specialist;guest relations manager;guest relations officer;hospitality customer experience manager;guest experience manager;guest experience specialist,,,"Customer experience managers monitor customer experiences by creating, evaluating and improving the customer's interaction organisations in the hospitality, recreation or entertainment industry. They develop plans of action to optimise all aspects of the customer's experience. Customer experience managers strive to ensure customer satisfaction and boost company profits."
http://data.europa.eu/esco/occupation/9cda1c7c-ba07-4381-b831-1bb346ff865f,2635,marriage counsellor,marriage and family counsellor;family therapist;marriage guidance counsellor;marriage counselling team member;marital crisis counsellor;marriage guidance and relationship counsellor;marriage and family therapist;marriage guidance advisor;couples counsellor;relationship counsellor;marriage counselor;marriage guidance and advice counsellor;marriage counselling team leader;family counsellor;relationship coach;marriage guidance worker;marriage crisis counsellor,,"Excludes <a resource=""http://data.europa.eu/esco/occupation/95d0a616-a4a9-4f56-a8fb-4de43cdb4c82"" typeOf=""http://data.europa.eu/esco/model#Occupation"" href=""http://data.europa.eu/esco/occupation/95d0a616-a4a9-4f56-a8fb-4de43cdb4c82""><span property=""http://www.w3.org/2000/01/rdf-schema#label"" xml:lang=""en"">family social workers</span></a>.","Marriage counsellors support and guide couples and families that are going through crises such as depression, substance abuse and relationship problems. They help improving their communication by providing group or individual therapy."
http://data.europa.eu/esco/occupation/9e1e8379-6377-4969-b141-0d2337218fc9,2631,economic development coordinator,economist;economic development consultant;economic development officer;socio economic development coordinator;regeneration manager;development officer;development consultant;planning officer,,,"Economic development coordinators outline and implement policies for the improvement of a community's, government's or institution's economic growth and stability. They research economic trends and coordinate cooperation between institutions working in economic development. They analyse potential economic risks and conflicts and develop plans to resolve them. Economic development coordinators advise on the economic sustainability of institutions and economic growth."
http://data.europa.eu/esco/occupation/9e285322-2cfa-430f-9b66-41be57d698e2,2432,public affairs consultant,public affairs agent;lobbyist;public affairs officer;public information consultant;public affairs specialist;corporate and public affairs consultant;external relations consultant;public affairs & communication consultant;public affairs and communication consultant;press and public affairs specialist;public affairs activist;public relations specialist;public relations consultant;external relations specialist;corporate & public affairs consultant;communication and public affairs specialist,,,"Public affairs consultants function as representatives for a client's goal. They attempt to persuade legislative bodies and policy makers to implement laws or regulation in accordance with the client's wishes, and negotiate with parties with potentially conflicting interests. They perform analytical and research duties in order to ensure that the client's cause is being addressed in an appropriate way to the appropriate parties. They also consult their clients on their causes and policies."
http://data.europa.eu/esco/occupation/9e2e6e1e-363b-4e1b-a673-7bc0f7343300,2522,ICT system administrator,sysadmin;IT system administrator;IT systems administrator;server administrator;network administrator;system and networks administrator;system and network administrator;ICT sysadmin;ICT sysadmins;enterprise administrator,,Excludes people performing managerial activities. Includes people performing inventory activities.,"ICT system administrators are responsible for the upkeep, configuration, and reliable operation of computer and network systems, servers, workstations and peripheral devices. They may acquire, install, or upgrade computer components and software; automate routine tasks; write computer programs; troubleshoot; train and supervise staff; and provide technical support. They ensure optimum system integrity, security, backup and performance."
http://data.europa.eu/esco/occupation/9ebaf3f0-0be0-47b7-b2b1-b3b04130fa81,2513,digital games developer,digital games developers;digital game developer;computer games developer;games programmer;video games developer;virtual games developer,,Includes people performing managerial activities.,"Digital games developers program, implement and document digital games. They implement technical standards in gameplay, graphics, sound and functionality."
http://data.europa.eu/esco/occupation/a04eedcf-8424-475a-8dc5-f30a9da4b151,2411,financial fraud examiner,fraud analyst;fraud examiner;fraud prevention analyst;fraud investigations manager;financial fraud investigator;forensic accountant;certified fraud examiner,,,"Financial fraud examiners undertake anti-fraud investigations including financial statement irregularities, securities fraud and market abuse detection. They manage fraud risk assessments and prepare forensic reports including the analysis and verification of evidence. Financial fraud examiners liaise with regulatory bodies."
http://data.europa.eu/esco/occupation/a1ba7574-cc28-446c-9741-12d7fbb325cb,2422,labour market policy officer,labour policy officer;labor market policy analyst;labour policy consultant;labour policy analyst;labour market policy analyst;labor policy advisor;policy officer at labour group;labor policy consultant;labor policy researcher;labour policy advisor;lobour policy researcher;policy officer at labour programme;labor policy officer;labor policy analyst,,,"Labour market policy officers research, analyse and develop labour market policies. They implement policies ranging from financial policies to practical policies such as improving job searching mechanisms, promoting job training, giving incentives to start-ups and income support. Labour market policy officers work closely with partners, external organisations or other stakeholders and provide them with regular updates."
http://data.europa.eu/esco/occupation/a28dff76-74df-46ee-929f-d1fffbb63cd7,2519,ICT quality assurance manager,IT quality assurance manager;ICT quality manager;ICT principal testing manager;ICT quality assurance managers;ICT test manager;principal test manager,,,"ICT quality assurance managers establish and operate an ICT quality approach through quality management systems, in compliance with internal and external standards and the organisation's culture. They ensure that the management controls are correctly implemented to safeguard asset, data integrity and operations. They focus on the achievement of quality goals, including the maintenance of the external certification according to quality standards and monitor statistics to forecast quality outcomes."
http://data.europa.eu/esco/occupation/a330b100-e651-4db1-bcf0-e9cbc025c614,2421,process officer,chief process officer;process improvement officer;process management coordinator;business process improvement coordinator;business process advisor;process administration specialist;processing officer;coordinator process management;process support officer;customer process coordinator;process coordinator;continuous improvement officer;business process officer;process improvement coordinator;process administrator;process improvement advisor,,,"Process officers identify, document and maintain the processes that are necessary to be implemented for an organisation. They review existing processes, evaluate improvements with stakeholders, draft internal documents and support the operations of the organization to meet the key KPIs."
http://data.europa.eu/esco/occupation/a47f82d3-4cf7-4abf-bb36-2c8cbad28234,2642,journalist,financial journalist;business journalist;correspondent;commentator;web editor;news anchor;crime journalist;investigative journalist;political journalist;sports journalist;news writer;science journalist;reporter,,,"Journalists research, verify and write news stories for newspapers, magazines, television and other broadcast media. They cover political, economic, cultural, social and sport events. Journalists must conform to ethical codes such as freedom of speech and right of reply, press law and editorial standards in order to bring objective information."
http://data.europa.eu/esco/occupation/a520fba4-2a29-43a0-bfd5-43892306501d,2421,building information modelling consultant,BIM consultant;building information modelling specialist;BIM specialist,,,"Building information modelling consultants advice, guide and evaluate clients in building information modelling (BIM) business processes, as well as construction teams on performing BIM technologies. They manage the communication with staff and clients, implement strategies and BIM solutions for completing the deliverables, and draft documents such as flow charts, agendas and guides for best practices."
http://data.europa.eu/esco/occupation/a6a0b60f-08da-4faa-bf54-942987efb471,2511,ICT system analyst,ICT system analysts;ICT systems analysts;ICT systems analyst;system analyst;IT system analyst;network analyst;systems analyst;IT systems analyst,,Excludes people performing ICT programming.,"ICT system analysts specify the system needs to meet the end user requirements. They analyse system functions in order to define their goals or purposes and to discover operations and procedures for accomplishing them most efficiently. They also design new IT solutions to improve business efficiency and productivity, produce outline designs and estimate costs of new systems, specify the operations the system will perform, and the way data will be viewed by the end user. They present the design to the users and work closely with the users to implement the solution."
http://data.europa.eu/esco/occupation/a74f6c51-37e5-423e-aa5b-044e98663027,2513,web content manager,content specialist;web content specialist;web content curatorspecialist;web content administrators;digital content;content curator,,,"Web content managers curate or create content for a web platform according to the long-term strategic goals, policies and procedures for an organisation's online content or their customers. They control and monitor compliance with standards, legal and privacy regulations and ensure web optimisation. They are also responsible for integrating the work of writers and designers to produce a final layout which is compatible with corporate standards."
http://data.europa.eu/esco/occupation/a76a05bb-e04d-4be8-953e-1ffd691dd58d,2635,mental health social worker,social worker (mental health);approved mental health professional;mental health social support worker;mental health community social worker;care coordinator (mental health);mental health advocate;care coordinator;mental health gateway worker,,,"Mental health social workers assist and provide counselling to people with mental, emotional, or substance abuse problems. They focus on providing personalised support to cases and monitor the recovery process of their clients by providing therapy, crisis intervention, client advocacy and education. Mental health social workers may contribute to mental health services improvement and mental health outcomes for citizens."
http://data.europa.eu/esco/occupation/a7c1d23d-aeca-4bee-9a08-5993ed98b135,2511,ICT system developer,systems programmer;ICT system developers;systems developer;IT system developer;chief ICT system developer;ICT systems developer;system developer;component developer;system software developer;ICT systems developers,,Includes ICT system chief developer.,"ICT system developers maintain, audit and improve organisational support systems. They use existing or new technologies to meet particular needs. They test both hardware and software system components, diagnose and resolve system faults."
http://data.europa.eu/esco/occupation/a99b38bc-6e71-4bef-b127-0f2b5e357815,2529,ICT resilience manager,IT resilience manager;manager for vulnerability;manager for IT resilience;vulnerability manager;disaster recovery manager;manager for disaster recovery,,,"ICT resilience managers research, plan and develop models, policies, methods, techniques and tools that enhance an organisation's cyber security, resilience and disaster recovery."
